EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType|Hora|geometry
usp2023mmqr|2023-06-27 16:29:15.869289|-4.169071|-40.631203|0.0|JROBERTO||USP|usp2023mmqr|mR|1.746698475|jroberto|Reriutaba/CE|earthquake|16|POINT (-40.631203 -4.169071)
usp2023lxax|2023-06-19 03:29:11.888526|-20.990112|-48.609604|0.0|JROBERTO||USP|usp2023lxax|mR|2.533157163|jroberto|Monte Azul Paulista/SP|earthquake|3|POINT (-48.609604 -20.990112)
usp2023loxs|2023-06-14 16:46:41.523395|-13.627383|-40.679428|0.0|JROBERTO||USP|usp2023loxs|mR|2.115772487|jroberto|Maracas/BA|earthquake|16|POINT (-40.679428 -13.627383)
usp2023lfxn|2023-06-09 18:26:54.766610|-4.281|-40.220619|0.0|JROBERTO||USP|usp2023lfxn|mR|1.513233383|jroberto|Santa Quiteria/CE|earthquake|18|POINT (-40.220619 -4.281)
usp2023lfib|2023-06-09 10:39:14.910000|-19.518667|-44.184167|0.0|MASSUMPCAO||USP|usp2023lfib|mR|2.270748999|marcelo|Prudente de Morais/MG|earthquake|10|POINT (-44.184167 -19.518667)
usp2023kuhk|2023-06-03 09:49:07.146769|-8.76854|-40.231735|0.0|JROBERTO||USP|usp2023kuhk|mR|2.333184391|jroberto|Lagoa Grande/PE|earthquake|9|POINT (-40.231735 -8.76854)
usp2023krlr|2023-06-01 20:34:35.872661|-21.059359|-44.714794|0.0|BRUNO||USP|usp2023krlr|mR|2.191176365|bruno|Bom Sucesso/MG|earthquake|20|POINT (-44.714794 -21.059359)
usp2023knwj|2023-05-30 21:25:24.051298|-14.198086|-51.384323|0.0|JROBERTO||USP|usp2023knwj|mR|2.548566864|jroberto|Cocalinho/MT|earthquake|21|POINT (-51.384323 -14.198086)
usp2023klog|2023-05-29 15:02:25.825710|-7.878529|-40.082279|0.0|JROBERTO||USP|usp2023klog|mR|2.143630942|jroberto|Ouricuri/PE|earthquake|15|POINT (-40.082279 -7.878529)
usp2023kikt|2023-05-27 21:52:54.829285|-10.545953|-44.296429|0.0|JROBERTO||USP|usp2023kikt|mR|2.360113939|jroberto|Julio Borges/PI|earthquake|21|POINT (-44.296429 -10.545953)
