evid;origin;longitude;latitude;depth;magnitude;magnitudet;region;author;mode
"usp2024ibag";2024-04-24T09:33:09.508Z;-70.177;-33.792;110.0;4.7;"mb";"Chile-Argentina Border Region";"cleusa";M
"usp2024iavj";2024-04-24T07:04:42.000Z;-52.110;-12.858;0.0;3.2;"mR";"Ribeirao Cascalheira/MT";"marcelo";M
"usp2024hxyq";2024-04-22T17:19:45.000Z;-43.807;-19.654;0.0;2.8;"mR";"Lagoa Santa/MG";"marcelo";M
"usp2024hwwi";2024-04-22T03:01:04.991Z;-68.192;-20.434;123.3;4.4;"mb";"Chile-Bolivia Border Region";"jroberto";M
"usp2024hwmy";2024-04-21T22:16:00.095Z;-72.683;-15.175;98.0;4.4;"mb";"Southern Peru";"cleusa";M
"usp2024hugu";2024-04-20T16:54:12.491Z;-67.852;-21.396;124.0;4.2;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024hqxo";2024-04-18T20:48:56.053Z;-70.361;-21.334;39.0;4.5;"mb";"Near Coast of Northern Chile";"cleusa";M
"usp2024howu";2024-04-17T18:10:58.385Z;-34.264;2.541;10.0;4.4;"mb";"North Atlantic Ocean";"cleusa";M
"usp2024hlot";2024-04-15T22:42:04.066Z;-67.237;-23.905;235.0;4.1;"mb";"Chile-Argentina Border Region";"cleusa";M
"usp2024hkcw";2024-04-15T03:33:54.000Z;-44.063;-19.528;0.0;1.9;"mR";"Matozinhos/MG";"marcelo";M
"usp2024hile";2024-04-14T05:28:48.908Z;-37.226;7.635;10.0;4.9;"mb";"Central Mid Atlantic Ridge";"jroberto";M
"usp2024higu";2024-04-14T03:16:24.085Z;-63.804;-23.619;553.0;4.5;"mB";"Salta Province, Argentina";"cleusa";M
"usp2024hewa";2024-04-12T06:25:49.619Z;-68.080;-21.361;141.0;4.1;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024hdrj";2024-04-11T14:56:09.736Z;-45.614;-20.404;0.0;2.8;"mR";"Pains/MG";"jroberto";M
"usp2024hdbt";2024-04-11T07:02:45.085Z;-69.162;-20.459;107.0;4.2;"mb";"Northern Chile";"cleusa";M
"usp2024hdar";2024-04-11T06:29:25.022Z;-68.978;-21.646;141.0;4.3;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024hcvt";2024-04-11T04:01:01.091Z;-69.901;-21.222;52.0;4.8;"mb";"Northern Chile";"cleusa";M
"usp2024hcph";2024-04-11T00:45:10.218Z;-77.908;-1.579;143.0;4.4;"mb";"Ecuador";"jroberto";M
"usp2024hcab";2024-04-10T17:02:45.385Z;-70.196;-17.835;10.0;4.3;"mb";"Near Coast of Peru";"cleusa";M
"usp2024hbxd";2024-04-10T15:33:42.495Z;-68.461;-17.308;203.0;5.2;"mb";"Central Bolivia";"jroberto";M
"usp2024hays";2024-04-10T03:14:39.497Z;-72.892;-29.822;10.0;4.6;"mb";"Off Coast of Central Chile";"cleusa";M
"usp2024hauo";2024-04-10T01:06:36.918Z;-70.619;-21.433;38.0;4.5;"mb";"Near Coast of Northern Chile";"cleusa";M
"usp2024hase";2024-04-09T23:55:27.431Z;-39.856;-9.866;0.0;2.4;"mR";"Uaua/BA";"jroberto";M
"usp2024haic";2024-04-09T18:50:31.592Z;-66.785;-23.427;198.0;4.3;"mb";"Jujuy Province, Argentina";"cleusa";M
"usp2024hahq";2024-04-09T18:36:18.975Z;-67.336;-23.988;160.0;4.6;"mb";"Chile-Argentina Border Region";"cleusa";M
"usp2024hadu";2024-04-09T16:39:45.163Z;-71.789;-14.817;125.0;4.9;"mb";"Central Peru";"cleusa";M
"usp2024gwlq";2024-04-07T16:04:39.015Z;-71.249;-23.445;10.0;4.7;"mb";"Off Coast of Northern Chile";"cleusa";M
"usp2024gwfi";2024-04-07T12:53:30.526Z;-48.747;-20.002;0.0;2.6;"mR";"Frutal/MG";"jroberto";M
"usp2024gvxw";2024-04-07T09:10:08.449Z;-44.257;-19.508;0.0;1.8;"mR";"Reg. de Sete Lagoas/MG";"marcelo";M
"usp2024gvvt";2024-04-07T08:03:45.549Z;-64.974;10.348;10.0;4.6;"mb";"Near Coast of Venezuela";"cleusa";M
"usp2024gvgb";2024-04-07T00:08:18.826Z;-53.584;-28.130;0.0;2.1;"mR";"Condor/RS";"bruno";M
"usp2024guwe";2024-04-06T19:08:48.072Z;-68.517;-21.429;97.8;4.1;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024groj";2024-04-04T23:46:43.335Z;-37.839;7.863;10.0;4.6;"mb";"Central Mid Atlantic Ridge";"jroberto";M
"usp2024grog";2024-04-04T23:43:56.038Z;-37.785;7.591;10.0;4.7;"mb";"Central Mid Atlantic Ridge";"cleusa";M
"usp2024grob";2024-04-04T23:37:31.313Z;-38.092;7.946;10.0;4.8;"mb";"Central Mid Atlantic Ridge";"jroberto";M
"usp2024grnl";2024-04-04T23:18:40.670Z;-37.815;6.219;10.0;4.5;"mb";"Central Mid Atlantic Ridge";"jroberto";M
"usp2024grnj";2024-04-04T23:16:57.677Z;-37.797;7.834;10.0;4.4;"mb";"Central Mid Atlantic Ridge";"jroberto";M
"usp2024gpuf";2024-04-04T00:28:14.166Z;-69.353;-24.425;69.0;5.0;"mb";"Northern Chile";"cleusa";M
"usp2024gozf";2024-04-03T13:51:55.202Z;-72.822;-37.063;36.0;5.4;"M";"Central Chile";"cleusa";M
"usp2024gokv";2024-04-03T06:35:04.019Z;-73.324;-36.050;10.0;5.0;"mb";"Near Coast of Central Chile";"cleusa";M
"usp2024goeu";2024-04-03T03:32:25.268Z;-75.410;-10.517;10.0;5.0;"mb";"Central Peru";"cleusa";M
"usp2024gnwj";2024-04-02T23:16:55.130Z;-72.064;5.098;10.0;5.0;"mb";"Colombia";"jroberto";M
"usp2024gnqw";2024-04-02T20:30:43.486Z;-51.058;-29.775;0.0;2.1;"mR";"Sao Leopoldo/RS";"bruno";M
"usp2024gmmv";2024-04-02T05:19:50.971Z;-70.987;-19.736;44.0;4.9;"mb";"Near Coast of Northern Chile";"cleusa";M
"usp2024gmcu";2024-04-02T00:15:44.799Z;-68.195;-21.536;141.0;4.1;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024glbk";2024-04-01T10:25:15.876Z;-67.124;-21.182;204.0;4.6;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024gjtn";2024-03-31T17:17:52.262Z;-71.233;-31.098;59.0;4.4;"mb";"Near Coast of Central Chile";"cleusa";M
"usp2024ghdn";2024-03-30T06:56:48.236Z;-68.103;-21.409;113.7;4.3;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024ggxr";2024-03-30T03:59:51.620Z;-66.965;-24.179;17.4;4.3;"mb";"Salta Province, Argentina";"jroberto";M
"usp2024ggxm";2024-03-30T03:54:14.266Z;-68.276;-24.543;123.4;4.2;"mb";"Chile-Argentina Border Region";"jroberto";M
"usp2024ggrj";2024-03-30T00:49:05.210Z;-66.246;-22.422;246.0;4.4;"mb";"Jujuy Province, Argentina";"cleusa";M
"usp2024ggdw";2024-03-29T17:58:37.349Z;-44.898;12.828;10.0;5.0;"mb";"Northern Mid Atlantic Ridge";"cleusa";M
"usp2024ggaq";2024-03-29T16:20:56.790Z;-44.797;12.769;10.0;4.9;"mb";"Northern Mid Atlantic Ridge";"cleusa";M
"usp2024ggar";2024-03-29T16:20:56.521Z;-44.557;12.783;10.0;4.8;"mb";"Northern Mid Atlantic Ridge";"jroberto";M
"usp2024gfah";2024-03-29T03:02:30.495Z;-69.944;9.538;12.0;4.2;"mb";"Venezuela";"cleusa";M
"usp2024getc";2024-03-28T23:23:41.953Z;-70.084;9.982;10.0;4.8;"mb";"Venezuela";"cleusa";M
"usp2024gduo";2024-03-28T11:01:17.150Z;-75.583;-8.873;10.0;4.9;"mb";"Central Peru";"cleusa";M
"usp2024gdlw";2024-03-28T06:37:13.126Z;-69.484;-17.715;143.0;4.3;"mb";"Peru-Bolivia Border Region";"cleusa";M
