ID,Hora de Origem (UTC),Longitude,Latitude,MLv,Distance,Folder,Cat,Certainty
usp2016rzbo,2016-09-12T15:17:39.195833Z,-36.36268234,-9.705712318,1.531346418,211.33042344983775,20160912T151739,earthquake,known
usp2016rzrf,2016-09-12T23:12:13.182727Z,-36.38127136,-9.697793007,1.525609768,210.426650435346,20160912T231213,earthquake,suspected
usp2017afbv,2017-01-03T18:35:55.000000Z,-43.93,-3.34,1.536036445,53.5794719634227,20170103T183555,earthquake,known
usp2017lbgm,2017-06-07T05:18:31.675191Z,-44.1574707,-23.02300453,1.549870879,110.30356291216093,20170607T051831,earthquake,known
usp2018fdeq,2018-03-14T21:25:18.238400Z,-35.66800308,-8.161951065,1.503537014,390.1543730097499,20180314T212518,earthquake,known
usp2018hzbh,2018-04-24T07:47:48.017158Z,-36.11546707,-5.574840546,1.525397382,216.39524882031242,20180424T074748,earthquake,known
usp2018ttkc,2018-10-08T23:51:27.000000Z,-40.455,-3.5462,1.548794928,251.77401300411682,20181008T235127,earthquake,known
usp2019cblb,2019-01-30T05:47:16.008695Z,-35.90624237,-9.610909462,1.4566472,273.1356294353101,20190130T054716,earthquake,known
usp2019cblo,2019-01-30T06:02:18.536861Z,-35.85900497,-9.62695694,1.483890399,259.81343742097846,20190130T060218,earthquake,known
usp2019fjaw,2019-03-18T02:20:49.354480Z,-39.42966461,-5.095760822,1.5098417,52.63082739842567,20190318T022049,earthquake,known
usp2019icda,2019-04-26T00:05:22.110480Z,-44.6049614,-21.86830711,1.516508112,383.11664158510905,20190426T000522,earthquake,suspected
usp2019pmut,2019-08-09T11:09:43.994601Z,-38.27474976,-4.369869709,1.465550791,194.9033309970557,20190809T110943,earthquake,known
usp2020cysu,2020-02-11T23:49:36.231579Z,-48.70471954,-21.32855034,1.538170095,34.36314333042167,20200211T234936,earthquake,suspected
usp2020knsv,2020-05-29T19:37:57.922183Z,-37.51421738,-5.688297749,1.527582702,259.04100207073776,20200529T193757,earthquake,known
usp2020rsvx,2020-09-09T05:37:29.836378Z,-36.0332222,-8.290922165,1.54400361,318.0924832666556,20200909T053729,earthquake,known
usp2020vlin,2020-11-01T01:03:13.839140Z,-35.97345734,-8.260457993,1.538987846,323.30357812967253,20201101T010313,earthquake,known
usp2020vlio,2020-11-01T01:04:18.813720Z,-35.96839142,-8.257575989,1.521174614,323.73926146957575,20201101T010418,earthquake,known
usp2021bvqs,2021-01-27T01:50:02.839099Z,-38.52212524,-4.350138187,1.521155149,220.04364459252417,20210127T015002,earthquake,known
usp2021bvuu,2021-01-27T03:53:07.856946Z,-38.48535538,-4.284195423,1.491305684,222.4283364033421,20210127T035307,earthquake,known
usp2021caiz,2021-01-29T15:36:56.459935Z,-37.7154541,-5.043803215,1.485133287,321.5727399732249,20210129T153656,earthquake,known
usp2021ctyt,2021-02-09T09:09:30.962148Z,-38.34064865,-4.276077271,1.468955601,212.45408080110101,20210209T090930,earthquake,known
usp2021drko,2021-02-22T05:15:28.824386Z,-37.46720123,-5.756126881,1.461328466,393.3411345073844,20210222T051528,earthquake,known
usp2021ezae,2021-03-12T14:38:01.000000Z,-40.5362,-11.176,1.471885516,51.818530488820954,20210312T143801,earthquake,known
usp2021fkmb,2021-03-18T21:07:16.833435Z,-40.53818512,-11.18430996,1.502288683,52.620780640369375,20210318T210716,earthquake,suspected
usp2021geza,2021-03-30T02:24:17.862788Z,-35.10608673,-8.233076096,1.489488019,352.86793898532306,20210330T022417,earthquake,known
usp2021hkds,2021-04-16T03:59:04.283532Z,-50.99367905,-28.68313026,1.527776507,195.67024656093247,20210416T035904,earthquake,suspected
usp2021load,2021-06-14T04:51:52.950145Z,-39.45681763,-5.06747818,1.520325485,270.6013354364568,20210614T045152,earthquake,known
usp2021mweq,2021-07-02T21:45:36.875165Z,-36.50156403,-8.705690384,1.454971464,177.8186310686172,20210702T214536,earthquake,suspected
usp2021okww,2021-07-25T04:24:55.617780Z,-35.19494247,-5.151206017,1.454284505,222.5515085358203,20210725T042455,earthquake,known
usp2022ccnc,2022-01-30T19:57:55.807106Z,-40.5298996,-11.15474701,1.526911758,49.69196903011709,20220130T195755,earthquake,known
usp2022jets,2022-05-11T16:19:38.952137Z,-39.67905045,-8.327958107,1.482258869,284.38390416393156,20220511T161938,earthquake,suspected
usp2022ltfy,2022-06-17T01:29:14.905803Z,-44.25223923,-19.49233627,1.547872506,240.83511887181143,20220617T012914,earthquake,suspected
usp2022pgdq,2022-08-05T19:41:48.797432Z,-36.76134109,-9.613079071,1.469081835,250.06693932476804,20220805T194148,earthquake,suspected
usp2023lfxn,2023-06-09T18:26:54.766610Z,-40.2206192,-4.28099966,1.513233383,214.31136479819352,20230609T182654,earthquake,suspected
usp2012bqjw,2012-01-24T04:41:52.047056Z,-40.50757217,-3.604427576,1.618614238,255.5439353124254,20120124T044152,earthquake,known
usp2013gten,2013-04-06T21:04:22.849173Z,-44.83278275,-21.13417625,1.610788228,212.78788626192454,20130406T210422,earthquake,suspected
usp2014hcdq,2014-04-11T18:51:37.000000Z,-43.7329,-16.6922,1.590647206,191.13784376375153,20140411T185137,earthquake,known
usp2014jzed,2014-05-22T20:19:06.000000Z,-43.8681,-16.6911,1.581110103,8.05221862672545,20140522T201906,earthquake,known
