evid,origin,longitude,latitude,depth,magnitude,magnitudet,region,author,mode,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
usp2023lfib,2023-06-09 10:39:14+00:00,-44184,-19519,0.0,2.3,mR,Prudente de Morais/MG,marcelo,M,,,,,
usp2023kwto,2023-06-04 18:13:24.541000+00:00,-60048,-16444,0.0,3.6,mb,Central Bolivia,jroberto,M,,,,,
usp2023kuhk,2023-06-03 09:49:07.146000+00:00,-40232,-8769,0.0,2.3,mR,Lagoa Grande/PE,jroberto,M,,,,,
usp2023krlr,2023-06-01 20:34:35.872000+00:00,-44715,-21059,0.0,2.2,mR,Bom Sucesso/MG,bruno,M,,,,,
usp2023knwj,2023-05-30 21:25:24.051000+00:00,-51384,-14198,0.0,2.5,mR,Cocalinho/MT,jroberto,M,,,,,
usp2023kmuo,2023-05-30 07:22:27.654000+00:00,-61544,-12465,0.0,2.5,mR,Parecis/RO,jroberto,M,,,,,
usp2023klog,2023-05-29 15:02:25.082000+00:00,-40082,-7879,0.0,2.1,mR,Ouricuri/PE,jroberto,M,,,,,
usp2023kikt,2023-05-27 21:52:54.829000+00:00,-44296,-10546,0.0,2.4,mR,Julio Borges/PI,jroberto,M,,,,,
usp2023khts,2023-05-27 13:15:41.153000+00:00,-48625,-21093,0.0,2.2,mR,Pirangi/SP,bruno,M,,,,,
usp2023khdp,2023-05-27 05:07:37.534000+00:00,-40575,-11277,0.0,2.3,mR,Jacobina/BA,jroberto,M,,,,,
usp2023khcn,2023-05-27 04:34:35.208000+00:00,-48616,-21058,0.0,2.3,mR,Pirangi/SP,bruno,M,,,,,
usp2023khah,2023-05-27 03:27:50+00:00,-60397,-384,0.0,4.1,mR,Rorainopolis/RR,marcelo,M,,,,,
usp2023kgaq,2023-05-26 14:29:34.406000+00:00,-36117,-8347,0.0,2.1,mR,Sao Caitano/PE,jroberto,M,,,,,
usp2023kdrt,2023-05-25 07:43:48.994000+00:00,-40846,-2975,0.0,1.9,mR,Camocim/CE,jroberto,M,,,,,
usp2023kdmb,2023-05-25 04:51:26.492000+00:00,-45003,-13274,0.0,3.2,mR,Correntina/BA,jroberto,M,,,,,
usp2023kcsc,2023-05-24 18:45:58.548000+00:00,-39941,-7778,0.0,2.2,mR,Bodoco/PE,jroberto,M,,,,,
usp2023kapb,2023-05-23 14:57:58.837000+00:00,-40636,-4109,0.0,2.3,MLv,Reriutaba/CE,jroberto,M,,,,,
usp2023jzyn,2023-05-23 06:36:54.183000+00:00,-45009,-13268,0.0,2.7,mR,Correntina/BA,jroberto,M,,,,,
usp2023jzje,2023-05-22 22:51:10.202000+00:00,-43455,-11748,0.0,2.1,mR,Morpara/BA,jroberto,M,,,,,
usp2023jrpy,2023-05-18 17:10:59.642000+00:00,-40427,-13447,0.0,2.0,mR,Maracas/BA,jroberto,M,,,,,
usp2023jmrf,2023-05-16 00:08:56.178000+00:00,-42967,-20193,0.0,2.1,mR,Dom Silverio/MG,jroberto,M,,,,,
usp2023jmre,2023-05-16 00:07:25.586000+00:00,-44279,-13505,0.0,2.8,mR,Rg. de Jaborandi/BA,jroberto,M,,,,,
usp2023jhvi,2023-05-13 08:33:10.924000+00:00,-57753,-11451,0.0,2.7,mR,Juara/MT,jroberto,M,,,,,
