event,label_cat,mag,lat,lon,pred,prob_nat
20200917125202,0,-0.1985505256,-27.67253062,-51.42309865,0,0.983
20200915142321,0,0.6686048752,-27.29805864,-52.31158535,1,0.191
20200909135101,0,-0.3287492357,-27.36575384,-52.31319088,0,0.601
20200909123310,0,0.7524546981,-27.25067382,-52.35160071,0,0.737
20200907160521,0,-0.1417593741,-27.69207524,-51.3320889,0,0.958
20200903130351,0,-0.3362802507,-27.7149694,-51.33653884,1,0.403
20200826204726,1,0.9026293252,-27.60584729,-52.27910768,1,0.004
20200819170205,1,0.7219113018,-27.21248349,-52.06084806,1,0.021
20200816213922,0,0.07170357979,-27.29273367,-52.36800951,1,0.494
20200815034337,0,-0.1770207619,-27.29687513,-52.33431084,1,0.186
20200815030702,0,-0.08608499643,-27.2783,-52.3406,0,0.977
20200815030420,0,-0.5905488446,-27.27149092,-52.3404827,0,0.988
20200809060533,0,-0.4871064809,-27.27192543,-52.39473674,0,0.991
20200806182807,0,-0.1538614484,-27.2407,-52.0884,0,0.506
20200806182757,0,0.9880837799,-27.24069932,-52.0883614,1,0.49
20200806182750,0,0.09233185198,-27.2429,-52.0884,1,0.219
20200805210929,0,-0.160931723,-27.25549743,-52.37055145,0,0.742
20200804170205,1,0.9224983833,-27.2115,-52.0576,1,0.208
20200804170135,1,0.5497446776,-27.21149547,-52.05764711,1,0.398
20200722141432,1,1.290590962,-27.21810847,-52.085524,1,0.098
20200719101638,0,-0.5265575906,-27.20561756,-52.11769268,1,0.11
20200718111855,0,-0.5523548054,-27.71625239,-51.36427734,0,0.856
20200717173410,0,0.5363425903,-27.29336574,-51.95352403,1,0.304
20200717034859,0,-0.2075266551,-27.09233479,-52.02312019,1,0.003
20200716181319,0,2.013011375,-27.93908882,-51.72687531,1,0.139
20200716171730,0,0.4137922299,-27.20361734,-52.00433843,1,0.035
20200716131511,0,-0.527822153,-27.23939574,-52.10781023,1,0.478
20200716114203,0,-0.3327275637,-27.24993155,-52.10049534,1,0.007
20200715130334,0,0.1823081278,-27.58638158,-51.16484854,1,0.093
20200712125852,0,-0.1534414825,-27.28925592,-52.09239567,1,0.069
20200710163505,1,2.343767544,-27.31430435,-49.13698578,1,0.007
20200709175925,1,1.17643957,-27.20459959,-52.0534663,0,0.536
20200707170312,0,0.4776898052,-27.24145562,-52.09404828,1,0.229
20200704142307,0,0.05641828496,-27.21471139,-51.9989584,1,0.008
20200704131525,0,-0.2261295951,-27.23384149,-52.07059702,0,0.978
20200704130421,0,-0.3089562427,-27.22162766,-52.07223055,0,0.926
20200704125433,0,-0.2928807867,-27.24727903,-52.07663234,0,0.91
20200704123603,0,-0.2326938929,-27.23017548,-52.07922558,0,0.906
20200704121949,0,-0.09224226534,-27.22981831,-52.07289707,0,0.968
20200704120523,0,-0.1989172633,-27.22962728,-52.07125664,0,0.868
20200704115017,0,-0.3049295437,-27.2251079,-52.07468625,0,0.964
20200704114021,0,0.2636200743,-27.22736237,-52.07140404,0,0.792
20200702173821,1,0.6538671978,-27.22021043,-52.05784791,0,0.632
20200701192723,0,-0.2501311822,-27.23506057,-52.07096615,0,0.963
20200701192559,0,-0.2478478369,-27.24808291,-52.06005813,0,0.966
20200701181650,0,-0.1257677203,-27.22523861,-52.0638788,1,0.035
20200701171623,0,-0.2414957145,-27.2329332,-52.06475709,0,0.926
20200701171444,0,-0.3826690286,-27.21030147,-52.06949572,0,0.988
20200630132811,1,0.5330205326,-27.155599,-51.98737668,1,0.025
20200629170101,1,0.9869694546,-27.21869499,-52.08754417,1,0.331
20200629170041,1,0.5850741471,-27.21439017,-52.0533399,1,0.407
20200626194825,0,-0.414908747,-27.22897293,-52.06431475,0,0.977
20200626193654,0,-0.4773519474,-27.20595615,-52.06772362,0,0.979
20200626191614,1,1.550894586,-26.94678159,-52.31259872,0,0.743
20200626191318,0,-0.3957053491,-27.20880259,-52.07044591,0,0.982
20200626184705,0,-0.371874892,-27.22096861,-52.05887988,0,0.986
20200625185916,0,-0.2042719512,-27.22400629,-52.11430921,0,0.666
20200623152650,1,0.8582158948,-27.19580308,-51.94029596,0,0.723
20200623134656,0,0.0686103354,-27.67620529,-51.31882569,1,0.043
20200623133649,0,-0.3602014899,-27.22607825,-52.04678216,0,0.921
20200622193813,0,-0.1395889953,-27.23855266,-52.05626394,0,0.954
20200622183607,0,-0.02633381766,-27.71984355,-51.2736435,1,0.245
