folder,match_status,sisbra_time,sisbra_lat,sisbra_lon,sisbra_mag,fdsn_event_id,fdsn_origin_time,picks_count
20230117T095925_usp2023bdzv_row5209,matched,2023-01-17T09:59:25Z,-8.1,-71.25,4.4,usp2023bdzv,2023-01-17T09:59:25.165407Z,1
20230117T212718_row5210,no_match,2023-01-17T21:27:18Z,-11.27,-40.5,2.5,,,0
20230120T072059_row5211,no_match,2023-01-20T07:20:59Z,1.36,-55.78,3.4,,,0
20230121T040827_usp2023bkwg_row5212,matched,2023-01-21T04:08:27Z,-21.1,-44.12,3.0,usp2023bkwg,2023-01-21T04:08:27.010000Z,4
20230121T044812_usp2023bkxo_row5213,matched,2023-01-21T04:48:12Z,-21.01,-44.18,2.5,usp2023bkxo,2023-01-21T04:48:12.039999Z,4
20230121T055828_usp2023bkzx_row5214,matched,2023-01-21T05:58:29Z,-21.09,-44.13,1.9,usp2023bkzx,2023-01-21T05:58:28.930719Z,3
20230123T023444_usp2023boke_row5215,matched,2023-01-23T02:34:49Z,-6.4,-50.07,3.9,usp2023boke,2023-01-23T02:34:44.866250Z,3
20230123T102042_usp2023bozo_row5216,matched,2023-01-23T10:20:43Z,-21.28,-48.51,2.0,usp2023bozo,2023-01-23T10:20:42.652000Z,2
20230123T145814_usp2023bpis_row5217,matched,2023-01-23T14:58:14Z,-20.34,-45.66,2.6,usp2023bpis,2023-01-23T14:58:14.423069Z,7
20230126T130832_usp2023burp_row5218,matched,2023-01-26T13:08:33Z,-20.99,-48.59,2.2,usp2023burp,2023-01-26T13:08:32.826295Z,4
20230127T100700_row5219,no_match,2023-01-27T10:07:00Z,-9.84,-39.88,2.2,,,0
20230129T183920_row5220,no_match,2023-01-29T18:39:20Z,-11.27,-40.5,2.1,,,0
20230130T042848_usp2023cbil_row5221,matched,2023-01-30T04:28:49Z,-18.96,-56.55,3.2,usp2023cbil,2023-01-30T04:28:48.821421Z,6
20230130T223518_usp2023ccsh_row5222,matched,2023-01-30T22:35:19Z,-21.23,-50.18,2.4,usp2023ccsh,2023-01-30T22:35:18.952129Z,5
20230201T013535_usp2023cett_row5223,matched,2023-02-01T01:35:36Z,-21.67,-46.7,2.9,usp2023cett,2023-02-01T01:35:35.559792Z,14
20230201T180327_usp2023cgai_row5224,matched,2023-02-01T18:03:28Z,-3.97,-40.21,2.2,usp2023cgai,2023-02-01T18:03:27.753567Z,4
20230203T041754_usp2023ciqc_row5225,matched,2023-02-03T04:17:54Z,-16.47,-60.05,3.2,usp2023ciqc,2023-02-03T04:17:54.425578Z,1
20230204T053737_usp2023ckog_row5226,matched,2023-02-04T05:37:38Z,-21.27,-48.5,2.3,usp2023ckog,2023-02-04T05:37:37.854930Z,7
20230205T125400_row5227,no_match,2023-02-05T12:54:00Z,-11.27,-40.53,2.7,,,0
20230205T204537_usp2023cnns_row5228,matched,2023-02-05T20:45:37Z,-11.28,-40.52,2.4,usp2023cnns,2023-02-05T20:45:37.362229Z,2
20230206T022326_usp2023cnyv_row5229,matched,2023-02-06T02:23:27Z,-21.09,-48.63,2.4,usp2023cnyv,2023-02-06T02:23:26.782711Z,11
20230206T053642_row5230,no_match,2023-02-06T05:36:42Z,-21.0,-48.62,2.5,,,0
20230207T084631_usp2023cqgz_row5231,matched,2023-02-07T08:46:32Z,-22.14,-44.58,2.5,usp2023cqgz,2023-02-07T08:46:31.817296Z,4
20230208T031948_usp2023crrs_row5232,matched,2023-02-08T03:19:49Z,-8.36,-36.05,2.0,usp2023crrs,2023-02-08T03:19:48.898999Z,5
20230209T092620_usp2023ctzh_row5233,matched,2023-02-09T09:26:20Z,-5.04,-35.13,2.2,usp2023ctzh,2023-02-09T09:26:20.375410Z,3
20230209T193429_row5234,no_match,2023-02-09T19:34:29Z,-8.3,-36.1,2.0,,,0
20230213T085551_row5235,no_match,2023-02-13T08:55:51Z,-21.06,-48.68,2.4,,,0
20230213T195358_usp2023dcca_row5236,matched,2023-02-13T19:53:59Z,-11.26,-40.51,1.9,usp2023dcca,2023-02-13T19:53:58.772461Z,2
20230215T122945_usp2023dfej_row5237,matched,2023-02-15T12:29:45Z,-10.09,-36.55,2.0,usp2023dfej,2023-02-15T12:29:45.037282Z,4
20230215T140714_usp2023dfhp_row5238,matched,2023-02-15T14:07:14Z,-10.17,-36.47,2.5,usp2023dfhp,2023-02-15T14:07:14.264290Z,5
20230215T151231_usp2023dfjt_row5239,matched,2023-02-15T15:12:32Z,-10.08,-36.56,2.3,usp2023dfjt,2023-02-15T15:12:31.825522Z,5
20230216T035239_row5240,no_match,2023-02-16T03:52:39Z,-9.86,-39.87,2.1,,,0
20230216T121837_usp2023dgzn_row5241,matched,2023-02-16T12:18:37Z,-16.46,-40.55,3.4,usp2023dgzn,2023-02-16T12:18:37.020000Z,3
20230221T191120_usp2023dqqq_row5242,matched,2023-02-21T19:11:21Z,-14.08,-38.98,2.1,usp2023dqqq,2023-02-21T19:11:20.536181Z,2
20230221T191629_usp2023dqqu_row5243,matched,2023-02-21T19:16:30Z,-14.11,-39.0,2.2,usp2023dqqu,2023-02-21T19:16:29.627007Z,2
20230221T191900_row5244,no_match,2023-02-21T19:19:00Z,-14.11,-38.99,2.1,,,0
