#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
ON|ON02||LHZ|-22.896781|-43.224618|0.0|0.0|0.0|-90.0|RT151, 120 s, 2000 V/m/s-RT130, gain 1, 100 sps|1253310000.0|0.05|M/S|1.0|2012-06-25T15:49:00|
ON|ON02||VHE|-22.896781|-43.224618|0.0|0.0|90.0|0.0|RT151, 120 s, 2000 V/m/s-RT130, gain 1, 100 sps|1253310000.0|0.05|M/S|0.1|2012-06-25T15:49:00|
ON|ON02||VHN|-22.896781|-43.224618|0.0|0.0|0.0|0.0|RT151, 120 s, 2000 V/m/s-RT130, gain 1, 100 sps|1253310000.0|0.05|M/S|0.1|2012-06-25T15:49:00|
ON|ON02||VHZ|-22.896781|-43.224618|0.0|0.0|0.0|-90.0|RT151, 120 s, 2000 V/m/s-RT130, gain 1, 100 sps|1253310000.0|0.05|M/S|0.1|2012-06-25T15:49:00|
ON|PET01||HHE|-24.290108|-47.275344|150.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-04-04T00:00:00|
ON|PET01||HHN|-24.290108|-47.275344|150.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-04-04T00:00:00|
ON|PET01||HHZ|-24.290108|-47.275344|150.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-04-04T00:00:00|
ON|POA01||HHE|-27.43|-50.38|38.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2018-10-10T00:00:00|
ON|POA01||HHN|-27.43|-50.38|38.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2018-10-10T00:00:00|
ON|POA01||HHZ|-27.43|-50.38|38.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2018-10-10T00:00:00|
ON|RIB01||HHE|-19.314216|-40.394365|216.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-04-04T00:00:00|2017-03-29T00:00:00
ON|RIB01||HHE|-19.314216|-40.394365|216.0|0.0|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-03-29T00:00:01|
ON|RIB01||HHN|-19.314216|-40.394365|216.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-04-04T00:00:00|2017-03-29T00:00:00
ON|RIB01||HHN|-19.314216|-40.394365|216.0|0.0|0.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-03-29T00:00:01|
ON|RIB01||HHZ|-19.314216|-40.394365|216.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-04-04T00:00:00|2017-03-29T00:00:00
ON|RIB01||HHZ|-19.314216|-40.394365|216.0|0.0|0.0|-90.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-03-29T00:00:01|
ON|SLP01||HHE|-23.3243|-45.1559|1117.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-05-06T00:00:00|2017-07-07T00:00:00
ON|SLP01||HHE|-23.3243|-45.1559|1117.0|0.0|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-07-07T00:00:01|
ON|SLP01||HHN|-23.3243|-45.1559|1117.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-05-06T00:00:00|2017-07-07T00:00:00
ON|SLP01||HHN|-23.3243|-45.1559|1117.0|0.0|0.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-07-07T00:00:01|
ON|SLP01||HHZ|-23.3243|-45.1559|1117.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-05-06T00:00:00|2017-07-07T00:00:00
ON|SLP01||HHZ|-23.3243|-45.1559|1117.0|0.0|0.0|-90.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-07-07T00:00:01|
ON|TER01||HH1|-28.531839|-49.129072|315.0|0.0|26.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2012-07-02T00:00:00|2017-08-02T00:00:01
